ICAO,IATA,Place,State,Airport,Country
,A05,Dixie,ID,[Dixie USFS Airport],USA
,A08,Marion,AL,[Vaiden Field Airport],USA
,A09,Bullhead City,AZ,[Eagle Airpark],USA
,A13,Anchorage,AK,[Bold Airport],USA
PAOC,A14,Portage Creek,AK,[Portage Creek Airport],USA
,A20,Bullhead City,AZ,[Sun Valley Airport],USA
,A23,Saginaw Bay,AK,[Saginaw Seaplane Base],USA
,A24,Alturas,CA,[California Pines Airport],USA
,A26,Adin,CA,[Adin Airport],USA
,A27,Seldovia,AK,[Seldovia Seaplane Base],USA
,A28,Fort Bidwell,CA,[Fort Bidwell Airport],USA
,A29,Sitka,AK,[Sitka Seaplane Base],USA
,A30,Fort Jones,CA,[Scott Valley Airport],USA
,A32,Dorris,CA,[Butte Valley Airport],USA
,A34,Dayton/Carson City,NV,[Dayton Valley Airpark Airport],USA
,A39,Phoenix,AZ,[Phoenix Regional Airport],USA
,A43,Taku Harbor,AK,[Taku Harbor Seaplane Base],USA
,A50,Ellicott,CO,[Colorado Springs East Airport],USA
,A51,Port St. Joe,FL,[Costin Airport],USA
,A57,Yakutat,AK,[Alsek River Airport],USA
,A61,Tuntutuliak,AK,[Tuntutuliak Airport],USA
,A63,Twin Hills,AK,[Twin Hills Airport],USA
,A67,Yakutat,AK,[Harlequin Lake Airport],USA
,A68,Yakutat,AK,[Situk Airport],USA
,A69,Yakutat,AK,[Tanis Mesa Airport],USA
,A70,Yakutat,AK,[Dangerous River Airport],USA
,A77,Yankee Creek,AK,[Yankee Creek 2 Airport],USA
,A79,Chignik Lake,AK,[Chignik Lake Airport],USA
,A88,Gunsight Mountain Lodge,AK,[Gunsight Mountain Airport],USA
,A89,Wasilla,AK,[Settlers Bay Airstrip Airport],USA
,AAA,Lincoln,IL,[Logan County Airport],USA
NTGA,AAA,Anaa,,,French Polynesia
YARY,AAB,Arrabury,Queensland,,Australia
DABB,AAE,Annaba,,[El Mellah],Algeria
,AAF,Apalachicola,FL,[Apalachicola Municipal Airport],USA
EDKA,AAH,Aachen,,[Aachen - Merzbruck],Germany
,AAI,Arraias,GO,,Brazil
,AAJ,Awaradam,,,Suriname
NGUK,AAK,Aranuka,,,Kiribati
EKYT,AAL,Aalborg,,,Denmark
FAMD,AAM,Mala Mala,,,South Africa
OMAL,AAN,Al Ain (Buraymi West),,,United Arab Emirates
SVAN,AAO,Anaco,Anzoategui,,Venezuela
,AAO,Wichita,KS,[Colonel James Jabara Airport],USA
,AAP,Houston,TX,[Andrau Airpark -- CLOSED],USA
URKA,AAQ,Anapa,Krasnodar,[Vityazevo Airport],Russia
EKAH,AAR,Aarhus,,[Tirstrup],Denmark
,AAS,Apalapsili,New Guinea,,Indonesia
,AAS,Campbellsville,KY,[Taylor County Airport],USA
ZWAT,AAT,Altay,,,China
,AAT,Alturas,CA,[Alturas Municipal Airport],USA
NSAU,AAU,Asau,Savai'i Island,[Asau Airport],Samoa
RPMA,AAV,Surallah,South Cotabato,[Allah Valley],Philippines
,AAW,Abbottabad,,,Pakistan
SBAX,AAX,Araxa,MG,,Brazil
